Longitude(deg),Latitude(deg),Depth(km),dVp(%),HitQuality
161.28511,-36.071939,60,-2.74422E-08,0
161.31264,-35.850256,60,-1.75186E-08,0
161.33999,-35.628685,60,-1.36079E-08,0
161.36718,-35.407229,60,-1.51818E-08,0
159.36078,-50.581932,60,1.56907E-13,0
159.40389,-50.360407,60,1.67543E-14,0
159.44661,-50.138765,60,-6.05235E-14,0
159.48896,-49.917008,60,-1.76923E-13,0
159.53095,-49.69514,60,-5.12702E-13,0
159.57256,-49.473164,60,-1.12042E-12,0
159.61382,-49.251085,60,-1.38221E-12,0
159.65472,-49.028906,60,3.32104E-12,0
159.69528,-48.806629,60,2.60442E-11,0
159.73549,-48.58426,60,7.81577E-11,0
159.77536,-48.361802,60,1.56396E-10,0
159.8149,-48.139258,60,2.34542E-10,0
159.85411,-47.916631,60,2.46423E-10,0
159.893,-47.693926,60,1.22166E-10,0
159.93156,-47.471145,60,5.48709E-11,0
159.96981,-47.248293,60,5.18476E-10,0
160.00775,-47.025374,60,2.00644E-09,0
160.04538,-46.80239,60,5.18719E-09,0
160.08271,-46.579345,60,1.19117E-08,0
160.11974,-46.356243,60,2.44530E-08,0
160.15648,-46.133088,60,5.12814E-08,0
160.19292,-45.909883,60,9.57646E-08,0
160.22908,-45.686632,60,1.42349E-07,0
160.26496,-45.463338,60,1.29707E-07,0
160.30056,-45.240005,60,-1.25562E-08,0
160.33588,-45.016636,60,-2.72193E-07,0
160.37093,-44.793236,60,-5.56512E-07,0
160.40572,-44.569807,60,-7.51515E-07,0
160.44024,-44.346354,60,-7.51921E-07,0
160.4745,-44.12288,60,-4.75230E-07,0
160.5085,-43.899388,60,9.28715E-08,0
160.54225,-43.675882,60,8.07425E-07,0
160.57575,-43.452367,60,1.43540E-06,0
160.609,-43.228844,60,1.82238E-06,0
160.642,-43.005318,60,1.72089E-06,0
160.67477,-42.781793,60,7.45406E-07,0
160.7073,-42.558272,60,-1.63436E-07,0
160.73959,-42.334759,60,2.46639E-06,0
160.77166,-42.111257,60,1.14221E-05,0
160.80349,-41.887769,60,2.41693E-05,0
160.8351,-41.6643,60,3.43785E-05,0
160.86648,-41.440853,60,3.79201E-05,0
160.89765,-41.217432,60,3.58744E-05,0
160.9286,-40.994039,60,3.11598E-05,0
160.95933,-40.770679,60,2.47074E-05,0
160.98985,-40.547356,60,1.67858E-05,0
161.02016,-40.324072,60,8.67775E-06,0
161.05027,-40.100831,60,2.17028E-06,0
161.08017,-39.877637,60,-1.40525E-06,0
161.10987,-39.654493,60,-3.62285E-06,0
161.13937,-39.431403,60,-4.56614E-06,0
161.16867,-39.208371,60,-4.42602E-06,0
161.19778,-38.985399,60,-3.69947E-06,0
161.2267,-38.762492,60,-2.78260E-06,0
161.25543,-38.539652,60,-1.92597E-06,0
161.28396,-38.316884,60,-1.25687E-06,0
161.31232,-38.09419,60,-7.98574E-07,0
161.34049,-37.871575,60,-5.26575E-07,0
161.36848,-37.649042,60,-3.86240E-07,0
161.39629,-37.426593,60,-3.09766E-07,0
161.42393,-37.204234,60,-2.50646E-07,0
161.45139,-36.981966,60,-1.96897E-07,0
161.47868,-36.759794,60,-1.48007E-07,0
161.5058,-36.537721,60,-1.05705E-07,0
161.53275,-36.31575,60,-7.18383E-08,0
161.55953,-36.093884,60,-4.78103E-08,0
161.58615,-35.872128,60,-3.41381E-08,0
161.6126,-35.650485,60,-2.83758E-08,0
161.6389,-35.428957,60,-2.76615E-08,0
159.70975,-50.608958,60,6.92201E-13,0
159.75141,-50.387319,60,4.43042E-13,0
159.7927,-50.165564,60,4.59759E-13,0
159.83363,-49.943695,60,7.82011E-13,0
159.87421,-49.721716,60,1.60504E-12,0
159.91442,-49.499631,60,4.13543E-12,0
159.9543,-49.277443,60,1.29455E-11,0
159.99383,-49.055155,60,4.28454E-11,0
160.03302,-48.832772,60,1.15990E-10,0
160.07188,-48.610297,60,2.23511E-10,0
160.11041,-48.387733,60,3.05780E-10,0
160.14862,-48.165084,60,2.55414E-10,0
160.18651,-47.942354,60,-9.66419E-11,0
160.22408,-47.719545,60,-7.58185E-10,0
160.26135,-47.496663,60,-1.16639E-09,0
160.29831,-47.27371,60,-6.80878E-10,0
160.33497,-47.05069,60,8.05533E-10,0
160.37133,-46.827607,60,2.98041E-09,0
160.4074,-46.604463,60,5.33432E-09,0
160.44318,-46.381264,60,9.25609E-09,0
160.47868,-46.158011,60,1.46168E-08,0
160.51389,-45.93471,60,-1.00867E-08,0
160.54883,-45.711363,60,-1.59588E-07,0
160.58349,-45.487974,60,-5.76694E-07,0
160.61789,-45.264547,60,-1.26115E-06,0
160.65202,-45.041085,60,-2.04064E-06,0
160.68589,-44.817591,60,-2.68742E-06,0
160.71949,-44.594071,60,-3.01704E-06,0
160.75285,-44.370526,60,-2.84250E-06,0
160.78595,-44.146961,60,-1.99914E-06,0
160.8188,-43.923379,60,-5.56443E-07,0
160.8514,-43.699784,60,1.05268E-06,0
160.88377,-43.47618,60,2.56720E-06,0
160.91589,-43.252569,60,4.07644E-06,0
160.94778,-43.028956,60,5.17505E-06,0
160.97944,-42.805344,60,5.93431E-06,0
161.01087,-42.581737,60,1.05142E-05,0
161.04206,-42.358138,60,2.50231E-05,0
161.07304,-42.134551,60,4.89329E-05,0
161.10379,-41.910979,60,7.34515E-05,0
161.13433,-41.687426,60,9.15047E-05,0
161.16465,-41.463896,60,1.02400E-04,0
161.19476,-41.240392,60,1.06912E-04,0
161.22465,-41.016917,60,1.03710E-04,0
161.25434,-40.793476,60,9.11667E-05,0
161.28383,-40.570072,60,7.13829E-05,0
161.31311,-40.346707,60,4.94606E-05,0
161.34219,-40.123387,60,3.03202E-05,0
161.37108,-39.900113,60,1.74933E-05,0
161.39977,-39.676891,60,8.75125E-06,0
161.42826,-39.453723,60,2.85510E-06,0
161.45657,-39.230612,60,-5.99557E-07,0
161.48469,-39.007564,60,-2.22671E-06,0
161.51262,-38.784579,60,-2.40464E-06,0
161.54037,-38.561664,60,-1.93090E-06,0
161.56794,-38.33882,60,-1.31797E-06,0
161.59533,-38.116051,60,-8.08826E-07,0
161.62254,-37.893361,60,-5.01876E-07,0
161.64958,-37.670753,60,-3.83127E-07,0
161.67644,-37.448231,60,-3.52607E-07,0
161.70313,-37.225798,60,-3.25208E-07,0
161.72966,-37.003458,60,-2.81492E-07,0
161.75602,-36.781213,60,-2.26635E-07,0
161.78221,-36.559068,60,-1.70561E-07,0
161.80824,-36.337025,60,-1.22810E-07,0
161.83411,-36.115089,60,-8.88233E-08,0
161.85982,-35.893262,60,-6.99166E-08,0
161.88537,-35.671549,60,-6.06921E-08,0
161.91077,-35.449951,60,-5.40266E-08,0
160.05909,-50.635045,60,2.06241E-12,0
160.0993,-50.413297,60,2.18393E-12,0
160.13916,-50.191433,60,2.95337E-12,0
160.17866,-49.969456,60,4.78714E-12,0
160.21782,-49.74737,60,8.33154E-12,0
160.25663,-49.525178,60,1.62123E-11,0
160.29512,-49.302884,60,3.70467E-11,0
160.33327,-49.080492,60,9.21510E-11,0
160.37109,-48.858006,60,1.71697E-10,0
160.40859,-48.635428,60,1.50654E-10,0
160.44578,-48.412762,60,-2.14035E-10,0
160.48265,-48.190012,60,-1.22191E-09,0
